"built_work_site_foreign_key","site_data","building_name_pinyin","building_name2_traditional","building_name3_simplified","work_building_identifier","building_name_in_site","building_in_site2_traditional","building_in_site3_simplified","group_batch","number_in_group","number_in_architecture_category_3","building_data","site_name_en","building_name_en","alternate_site_name_pinyin","alternate_site_name_traditional","alternate_site_name_simplified","alternate_building_name_pinyin","building_date","building_start","building_end","decimal_latitude","decimal_longitude","verbatim_latitude","verbatim_longitude","comments_and_field_notes","most_recent_doc","notes","ct_angled_bracket_arm","corner_angled_bracket_arm","ic_angled_bracket_arm","ic_match_ct","number_of_ic_in_central_bay","pupaifang","first_step_touxin","first_step_jixin","cejiao","pizhu_xiaang","qinmian_xiaang","qinmian-pizhu_xiaang","number_of_xiaang","ang-shaped_shuatou","beveled_linggong","chamfered_linggong"
"000092",,"Daxiongbaodian","大雄寶殿","大雄宝殿","000244","Taiyinsi_Daxiongbaodian","太阴寺大雄宝殿","太阴寺大雄宝殿",5,260,66,," ","Mahāvīra Treasure Hall",,,,"Daxiongbaodian",1170,"1170","1170",35.49343333,111.6487167,"35˚ 29.606' (Garmin)","111˚ 38.923'","Daxiongbaodian from Jin repair, see: 中國 文物 地圖集 山西分冊,下,p.1148",2010,,0,0,0,1,1,1,0,1,1,1,0,1,2,0,0,1
"000093",,"zhengdian","正殿","正殿","000245","Tiantaian_zhengdian","天台庵正殿","天台庵正殿",3,107,55,,,"main hall",,,,"Zhengdian","618-907","0618","0907",36.38344,113.3922133,"36˚ 23' 00.64"" N (google earth Cui Jinze)","113˚ 23' 53.28"" E","probably late Tang based on style",1997,,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,0
"000094",,"zhongdian","中殿","中殿","000246","Tianwangsi_zhongdian","天王寺中殿","天王寺中殿",6,396,99,," ","middle hall",,,,"Zhongdian ","1125-1234","1125","1234",36.11731667,112.8746333,"36˚ 7.039' (Garmin)","112˚ 52.478'","Middle and Back Halls Jin: 现仅存中殿、后殿，有关专家从梁架结构和斗拱构件认证属金代建筑遗存",2010,,0,0,0,0,0,1,0,1," "," "," "," ",1,0,1,0
"000094",,"houdian ","後殿","后殿","000247","Tianwangsi_houdian","天王寺後殿","天王寺後殿",6,396,99,," ","back hall",,,,"Houdian","1125-1234","1125","1234",36.11753333,112.8747333,"36˚ 7.052' (Garmin)","112˚ 52.484'","Middle and Back Halls Jin: 现仅存中殿、后殿，有关专家从梁架结构和斗拱构件认证属金代建筑遗存",2010,,"http://www.sxcr.gov.cn/wmsx/show.php?itemid=1124",,,,,,,,,,,,,,,
"000095",,"dadian","大殿","大殿","000248","Wanrong_Jiwangmiao_dadian","萬榮稷王廟大殿","万荣稷王庙大殿",5,224,30,,,"main hall",,,,"Jiwangmiao_Main_Hall",,,,,,,,,1998,,,,,,,,,,,,,,,,,
"000096",,"Sanfodian","三佛殿","三佛殿","000249","Wuxiangxian_Dayunsi_Sanfodian","武鄉縣大雲寺三佛殿","武乡县大云寺三佛殿",5,253,59,," ","Three Buddhas Hall",,,,"Dayunsi Sanfodian","960-1125","0960","1125",36.9410666,112.6609,"36˚ 56.493 N (Garmin)","112˚ 39.657 E",,2009,,0,0,0,0,0,1,0,1,1,0,1,,0,,0,1
"000097",,"baidian","拜殿","拜殿","000250","Xiajiao_Tangdimiao_baidian","下交汤帝庙拜殿","下交汤帝庙拜殿",6,357,60,," ","worship hall",,,,"Baidian ",1213,"1213","1213",35.41436667,112.3568333,"35˚ 24.862","112˚ 21.410","offering hall originally a stage from Jin dynasty",2010,,,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0
"000098",,"zhengdian","正殿","正殿","000251","Xiangning_Shoushengsi_zhengdian","鄉寧壽聖寺","乡宁寿圣寺",6,379,82,,,"main hall",,,,"Shoushengsi_Main_Hall",1049,"1049","1125",,,,,"Main Hall Song? See 中國 文物 地圖集 山西分冊, 下, 978; http://baike.baidu.com/view/2020840.htm","*",,,,,,,,,,,,,,,,,
"000098",,"zhonglou","鐘樓","钟楼","000252","Xiangning_Shoushengsi_zhonglou","鄉寧壽聖寺","乡宁寿圣寺",6,379,82,,,"bell tower",,,,"Shoushengsi_bell_tower","1234-1368","1234","1368",,,,,"Bell tower Yuan? See: http://baike.baidu.com/view/2020840.htm","*",,,,,,,,,,,,,,,,,
"000099",,"zhengdian","正殿","正殿","000253","Xiaohuiling_Erxianmiao_zhengdian","小会岭二仙庙","小会岭二仙庙",5,265,71,," ","main hall",,,,"Erxianmiao","960-1125","0960","1125",35.67861667,113.1687333,"35˚ 40.717' N (Garmin)","113˚ 10.124' E",,2010,,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0
"000100",,"dadian","大殿","大殿","000254","Xiaozhangcun_Biyunsi","小张村碧云寺","小张村碧云寺",,,,,,"main hall",,,,"Biyunsi",,,,36.17146667,112.8389833,,,,2010,,,,,,,,,,,,,,,,,
"000101",,"zhongdian","中殿","中殿","000255","Xilimen_Erxianmiao_Zhongdian","西李门二仙庙中殿","西李门二仙庙中殿",6,374,77,," ","middle hall",,,,"Erxianmiao",1157,"1157","1157",35.7030833,112.9776,"35˚ 42.185' N (Garmin)","112˚ 58.656' E",,2009,,0,0,0,0,1,1,0,1,1,0,1,0,2,0,0,1
"000101",,"houdian","後殿","后殿","000256","Xilimen_Erxianmiao_Houdian","西李门二仙庙后殿","西李门二仙庙后殿",6,374,77,," ","back hall",,,,"Erxianmiao","1125-1234","1125","1234",35.7032333,112.977666,"35˚ 42.194' N (Garmin)","112˚ 58.660' E",,2009,,0,0,0,0,1,1,0,1," ",0,1,0,1,0,0,1
"000102",,"dadian","大殿","大殿","000257","Xingdongyuan_Dongyuemiao_dadian","兴东垣东岳庙","兴东垣东岳庙",5,241,47,," ","great hall",,,,"Dongyuemiao",,,,,,,,,"*",,,,,,,,,,,,,,,,,
"000103","兴梵寺 祁县
Xingfansi     ZGWWDTJ Shanxi, vol. 3;    p.775    33 – C 1 Date of founding unknown, building area of 287 square meters. Facing south, single courtyard design and the only extant building on the central axis is the main hall (大殿).","dadian","大殿","大殿","000258","Xingfansi_dadian","興梵寺大殿","兴梵寺大殿",6,367,"Ⅲ－70","main hall (大殿). [The main hall] has a brick platform of 1.85 meters high, a front façade of 5 bays, with a depth of 6 rafters, and a single eave hip/gable roof. Internal beam structure is supported by four columns, with a 4-rafter beam connected to both the front and back column grid by a single-rafter beam (搭牵; 劄牵?). 4 puzuo bracket sets with a single huagong (杪), original restoration no longer exists. Translated by Lydia Ohl; revised by T Miller, 02-2017"," ","great hall",,,,"Guangfansi","960-1125","0960","1125",37.39033333,112.4500667,,,"Main Hall Song structure; see: 中國文物地圖集山西分冊, 下, 775 ","*",,,,,,,,,,,,,,,,,
"000104",,"houdian","後殿","后殿","000259","Xixi_Erxianmiao_houdian","西溪二仙庙后殿","西溪二仙庙后殿",5,267,73,," ","back hall",,,,"Erxianmiao",,,,35.7605,113.2553333,"35˚ 45.63 N","113˚ 15.32 E",,2004,,0,0,0,1,2,1,0,1,1,0,1,0,2,0,0,1
"000105",,"qingong","寢宮","寝宫","000260","Yangquan_Dawangmiao_qingong","陽泉大王寝宫","阳泉大王庙寝宫",5,255,61,," ","vestry/retiring hall",,,,"Dawangmiao",,,,,,,,"寢宮from Jin--1172? Ic brackets have xiegong","*",,,,,,,,,,,,,,,,,
"000106",,"zhengdian","正殿","正殿","000261","Yangquan_Guanwangmiao_zhengdian","陽泉關王廟正","阳泉关王庙正殿",4,99,21,," ","main hall",,,,"Guanwangmiao",,,,37.92066667,113.6196667,"37˚ 55.24' N (Magellan-could not verify w/ satellite)","113˚ 37.18 E","only angled bracket arms are bevelled, not linggong",2001,,1,0,1,0,1,1,0,1," ",0,0,0,0,0,0,1
"000107",,"dafodian","大佛殿","大佛殿","000262","Yanqingsi_Dafodian","延慶寺大佛殿","延庆寺大佛殿",6,381,84,,,"Great Buddha Hall",,,," ","1115-1234","1115","1234",38.7483333,113.0625,"38˚ 44.90' N (Magellan)","113˚ 03.75' E","中國 文物 地圖集 山西分冊,中 580","1999?",,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,
"000108",,"Wenshudian","文殊殿","文殊殿","000263","Yanshansi_Wenshudian","岩山寺文殊殿","岩山寺文殊殿",2,23,8,," ","Mañjuśrī Hall",,,,"Yanshansi",1158,"1158","1158",39.22918056,113.6534333,"39˚ 13’ 45.05"" N (google earth)","113˚ 39' 12.36"" E","1158 simple building,single xia'ang, ct and ic the same ",1999,,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0
"000109",,"qiandian","前殿","前殿","000264","Youxiansi_qiandian","游仙寺前殿","游仙寺前殿",5,270,76,," ","front hall",,,,"Qiandian","990-994","0990","0994",35.74008889,112.929389,"35˚ 44' 25.08"" N (google earth-satellite confirm)","112˚ 55' 45.86"" E",,,,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0
"000109",,"zhongdian","中殿","中殿","000265","Youxiansi_Zhongdian","游仙寺中殿","游仙寺中殿",5,270,76,," ","middle hall",,,,"Zhongdian ","1125-1234","1125","1234",35.74030278,112.9294028,"35˚ 44' 25.96"" N (google earth-satellite confirm)","112˚ 55' 45.98"" E","linggong beveled mangong chamfered",,,0,0,0,1,1,1,0,1," ",0,1,0,1,0,1,1
"000110",,"Daxiongbaodian","大雄寶殿","大雄宝殿","000266","Yuanqisi_Daxiongbaodian","原起寺大雄寶殿","原起寺大雄宝殿",5,276,82,," ","Mahāvīra Treasure Hall",,,,"Yuanqisi","960-1125","0960","1125",36.35326667,113.4258,"36˚ 21.196' (Garmin)","113˚ 25.548'",,2010,,0,0,0,0,0,0,1,0," ",0,0,0,0,1,0,0
"000110",,"Qinglongbaota","青龍寶塔","青龙宝塔","000267","Yuanqisi_Qinglongbaota","原起寺青龍寶塔","原起寺青龙宝塔",5,276,82,," ","Green Dragon Treasure Pagoda",,"原起寺大聖寶塔",,"Yuanqisi_Dashengbaota","960-1125","0960","1125",36.35326667,113.4258,"36˚ 21.196' (Garmin)","113˚ 25.548'",,2010,," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"000111",,"loutai","樓臺","樓臺","000268","Yuanzhou_Qiaolou_loutai","袁州譙樓樓臺","袁州谯楼楼台",6,606,309,," ","tower platform",,,,"Qiaolou","944-1219","0944","1219",,,,,"earliest regional observatory; see: http://big5.china.com.cn/overseas/txt/2004-12/09/content_5724640.htm; uncertain date of extant structures","n/a",,,,,,,,,,,,,,,,,
"000112",,"Douchuishan Zhuanlun jingcang","竇圌山轉輪經藏","窦圌山转轮经藏","000269","Yunyansi_Douchuishan_zhuanlun_cangjing","雲岩寺竇圌山轉輪經藏","云岩寺窦圌山转轮经藏",3,115,63,,,"Mount Douchui Revolving Sutra Repository",,,," ",,,,,,,,"song revolving sutra repository with angled bracket arms","*",,,,,,,,,,,,,,,,,
"000113",,"zhengdian","正殿","正殿","000270","Yuquan_Dongyuemiao","玉泉东岳庙","玉泉东岳庙",6,376,79,," ","main hall",,,,"Dongyuemiao","1125-1234","1125","1234",35.68258333,113.19005,"35˚ 40.955 (Garmin)","113˚ 11.403","Main Hall and East Ear hall (耳殿) Jin, see 中國 文物 地圖集 山西分冊, 中, 513",2010,"complex locked, measured back of hall",0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1
"000114",,"Shengmudian","聖母殿","圣母殿","000271","Zetianmiao_Shengmudian","則天廟聖母殿","则天庙圣母殿 ",4,100,22,," ","Sage Mother Hall",,,,"Zetianmiao","1125-1234","1125","1234",37.47303833,112.0361283,"37°28'38.23""(google earth-satellite， zetsubouphoto","112°02'16.77""",,1999,,0,0,0,0,0,1,1,1," ",0,0,1,1,1,0,1
"000115",,"Tianzidian","天齊殿","天齐殿","000272","Zezhou_Daimiao_Tianqidian","泽州岱庙天齐殿","泽州岱庙天齐殿",5,263,69,," ","Hall for Veneration of Heaven",,,,"Daimiao Tianqidian",1079,"1079","1079",35.41921667,112.7244167,"35˚ 25.153' (Garmin)","112˚ 43.465'",,2010,,0,0,0,1,1,1,0,1,1,0,1,0,2,0,0,1
"000116",,"Dafodian","大佛殿","大佛寺","000273","Zhangye_Dafosi_Dafodian","张掖大佛寺","张掖大佛寺",4,112,34,," ","Great Buddha Hall",,"迦叶如来寺",,"Dafosi",1098,,,,,,,"Xixia reclining Buddha--is building also Xixia? http://baike.baidu.com/item/%E5%BC%A0%E6%8E%96%E5%A4%A7%E4%BD%9B%E5%AF%BA","*?",,,,,,,,,,,,,,,,,
"000117",,"Shanmen","山門","山门","000274","Zhangzi_Fujunmiao_Shanmen","长子县府君庙","长子县府君庙",5,266,,,,"Mountain Gate",,,,"Fujunmiao","960-1546","0960","1546",36.11985,112.8771667,"36˚ 07. 191'","112˚ 52.630'","shanmen Jin--1184",2010,,0,0,0," "," ",1,0,1,1,0,1,0,2,0,0,1
"000118",,"dadian","大殿","大殿","000275","Zhaorensi_dadian","昭仁寺大殿","昭仁寺大殿",3,109,57,,,"main hall",,,,"Dadian","618-907","0618","0907",,,"35˚ 12' 15.89"" N  found on google earth, no satellite ","107˚ 47' 50.63"" E ","date of main hall not listed in ZGMSCD, p. 1026,--Tang?","*",,,,,,,,,,,,,,,,,
"000119",,"Zhaozewangdian","昭澤王殿","昭泽王殿","000276","Zhaozewangmiao_Zhaozewangdian","昭澤王廟昭澤王殿","昭泽王庙昭泽王殿",6,395,98,," ","Zhaozewang Hall",,,,"Zhaozewangmiao","1115-1234","1115","1234",,,"could not find",,"Main Hall from 1187; see: http://www.sxcr.gov.cn/wmsx/show.php?itemid=1128","*",,,,,,,,,,,,,,,,,
"000120",,"Dachengdian","大成殿","大成殿","000277","Zhengding_Wenmiao_Dachengdian","正定文廟大成殿","正定文庙大成殿",4,91,13,," ","Dacheng Hall",,,,"Wenmiao Dachengdian","907-960","0907","0960",38.14383333,114.561,"38˚ 08.63' N (Magellan)","114˚ 33.66' E",,1999,,0,0,0,0,0,0,1,0," ",0,0,0,0,0,0," "
"000121",,"Wanfodian","萬佛殿","万佛殿","000278","Zhenguosi_Wanfodian","镇国寺萬佛殿","镇国寺万佛殿",3,111,59,,,"10,000 Buddhas Hall",,,,"Wanfodian",963,"0963","0963",37.25298611,112.248006,"37˚ 15' 10.75"" N (google earth-Xu, no satellite)","112˚ 14’52。82”E","continuation of style at Foguangsi into 10th cen.",1997,,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,1
"000122",,"zhengdian","正殿","正殿","000279","Zhenshengsi_zhengdian","真聖寺正殿","真圣寺正殿",6,388,"Ⅲ－91",,,"main hall",,,,"Zhenshengsi",1157,"1157","1157",,,,,"Main Hall from Jin; 1157. See: http://www.huaxia.com/zhsx/sxsy/wwzy/12/1260249.html;https://zh.wikipedia.org/wiki/%E7%9C%9F%E5%9C%A3%E5%AF%BA","*",,,,,,,,,,,,,,,,,
"000123",,"shanmen","山門","山門","000280","Zhongping_Erxiangong_Shanmen","中坪二仙宫山門","中坪二仙宫山門",6,382,85,," ","Mountain Gate",,,,"Erxiangong Shanmen","1125-1234","1125","1234",35.8059,113.07,"35˚ 48.354 N (Garmin)","113˚ 04.200' E","this building looks later--yuan?",2009,,0,0,0,0,1,1,0,1," ",0,1,0,2,0,1,0
"000123",,"zhengdian","正殿","正殿","000281","Zhongping_Erxiangong_Zhengdian","中坪二仙宫正殿","中坪二仙宫正殿",,,,," ","main hall",,,,"Erxiangong Shanmen","1125-1234","1125","1234",35.8061166,113.069833,"35˚ 48.367 N (Garmin)","113˚ 04.190' E",,,,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1
